NodeId 1, NodeId 2,Edge Index, Notice: NodeId 1 < NodeId 2
0,2,3,
0,54,12,
0,7460,0,
1,3,4,
1,36,2,
1,86,73,
1,7461,1,
2,5,8,
2,10,16,
4,6,5,
4,7,9,
4,8,10,
5,9,11,
5,7462,6,
6,7462,7,
7,15,15,
7,23,27,
8,11,14,
8,23,28,
9,12,19,
10,12,17,
10,31,45,
10,54,13,
11,16,22,
11,17,23,
12,20,29,
12,30,43,
13,19,18,
13,7466,33,
14,20,32,
14,33,40,
14,7463,20,
15,7463,21,
16,42,56,
16,7466,34,
16,7467,47,
17,24,36,
17,7464,24,
18,22,31,
18,7464,25,
19,21,26,
20,27,44,
20,50,59,
21,7465,30,
22,29,41,
22,35,53,
23,33,39,
23,7466,35,
24,25,37,
24,35,52,
25,41,84,
25,7467,46,
26,30,42,
27,32,54,
27,33,55,
27,34,69,
28,40,86,
28,7468,48,
28,7473,80,
29,7468,49,
30,37,50,
31,37,51,
31,53,90,
32,60,105,
32,63,106,
32,7477,94,
34,42,57,
34,7474,87,
34,7479,101,
35,38,67,
35,39,58,
36,47,60,
37,44,61,
38,43,68,
38,51,77,
38,7469,62,
39,7470,63,
40,56,104,
40,7470,64,
40,7478,99,
41,55,85,
41,7471,65,
42,7471,66,
43,61,120,
43,7476,93,
44,7472,70,
45,50,78,
45,7472,71,
45,7477,97,
46,53,89,
46,68,109,
46,7472,72,
46,7477,95,
47,86,74,
48,53,82,
48,54,83,
48,86,75,
48,7490,150,
49,51,76,
51,57,79,
52,59,117,
52,7473,81,
52,7481,108,
53,87,154,
55,61,102,
55,7474,88,
55,7484,129,
56,70,132,
56,73,124,
56,7475,91,
57,7475,92,
58,67,114,
58,71,118,
58,7477,96,
59,70,116,
59,113,148,
59,7478,98,
60,118,160,
60,7479,100,
60,7485,137,
61,72,119,
61,7489,146,
62,65,126,
62,76,127,
62,7480,103,
63,71,122,
63,75,125,
64,74,123,
64,85,135,
64,7481,107,
65,68,110,
65,77,128,
66,69,144,
66,93,158,
66,7482,111,
67,69,115,
67,7482,112,
68,7482,113,
70,79,131,
70,80,133,
71,7488,145,
72,78,130,
73,7483,121,
73,7487,140,
74,83,138,
75,93,159,
75,102,168,
75,116,180,
77,93,155,
79,97,162,
79,125,181,
80,89,149,
80,125,182,
81,85,134,
81,106,173,
82,88,169,
82,7485,136,
83,101,174,
84,86,142,
84,87,143,
84,7486,139,
84,7492,176,
85,90,141,
87,92,153,
88,103,170,
88,7489,147,
89,109,178,
89,110,179,
89,7495,199,
90,94,151,
90,7491,167,
91,94,152,
91,104,171,
94,111,156,
95,100,165,
95,111,157,
96,103,186,
96,118,161,
97,129,194,
97,7496,204,
98,114,163,
98,143,216,
99,114,164,
99,115,188,
100,105,172,
101,134,205,
101,7491,166,
102,7498,211,
103,7498,212,
105,107,175,
107,108,177,
110,117,190,
110,7499,214,
111,120,183,
112,120,184,
113,122,185,
114,133,187,
115,133,217,
116,124,189,
117,152,236,
117,7495,201,
118,7493,191,
119,127,192,
120,127,193,
121,129,195,
122,7494,196,
123,150,234,
123,7494,197,
124,128,198,
125,7495,200,
126,7495,202,
126,7496,203,
126,7504,232,
127,134,206,
128,130,207,
129,136,208,
129,137,215,
130,131,209,
130,142,220,
131,7497,210,
132,140,226,
132,7499,213,
134,7500,218,
135,137,228,
135,141,227,
135,7500,219,
135,7506,242,
136,7501,221,
136,7502,224,
137,7501,222,
138,146,237,
138,147,238,
138,7501,223,
139,146,239,
139,148,240,
139,7502,225,
140,151,245,
140,152,246,
141,150,244,
141,7507,257,
142,149,229,
143,7503,230,
144,150,235,
144,172,267,
144,7503,231,
145,151,252,
145,152,251,
145,7504,233,
146,154,248,
146,155,249,
147,156,253,
147,157,254,
147,7506,243,
148,159,260,
148,160,261,
149,7505,241,
151,161,262,
153,163,250,
153,166,247,
154,156,255,
154,158,256,
155,158,259,
155,159,273,
156,165,266,
157,165,280,
157,7507,258,
157,7510,276,
158,162,263,
159,168,272,
160,161,270,
160,169,274,
160,7512,287,
161,164,269,
162,173,279,
163,174,264,
164,170,275,
164,7508,265,
165,171,281,
165,173,282,
166,175,268,
167,178,288,
167,7509,271,
168,179,290,
168,7515,299,
169,176,289,
169,7515,300,
170,183,296,
171,181,294,
171,7511,277,
172,7511,278,
173,179,293,
174,182,283,
175,189,284,
176,184,297,
176,7512,285,
177,187,302,
177,7512,286,
178,180,292,
178,188,303,
179,185,304,
180,7513,291,
181,191,307,
182,7514,295,
184,193,310,
185,191,312,
185,194,311,
185,7515,298,
186,192,309,
186,194,320,
186,7515,301,
187,188,308,
187,193,313,
187,203,315,
189,199,305,
190,195,306,
190,197,317,
190,198,318,
191,7520,340,
192,196,316,
192,200,327,
193,201,322,
194,200,321,
195,202,314,
196,200,328,
196,201,326,
197,204,330,
197,234,353,
198,212,338,
199,206,319,
201,207,332,
201,208,344,
202,7516,323,
203,7517,324,
204,205,337,
204,211,336,
204,7517,325,
205,209,329,
205,216,346,
205,217,347,
206,215,331,
207,213,341,
208,214,343,
208,7518,333,
208,7521,350,
209,7518,334,
210,214,342,
210,222,348,
210,7518,335,
211,221,354,
212,233,375,
212,252,374,
213,271,384,
213,7519,339,
213,7528,401,
214,220,352,
215,224,345,
216,217,356,
216,221,365,
216,229,364,
217,222,355,
218,220,359,
218,225,360,
218,7521,349,
219,230,366,
219,237,376,
219,7521,351,
220,223,357,
221,231,367,
221,7524,372,
223,226,361,
224,242,358,
225,230,368,
225,248,395,
226,228,363,
227,253,399,
227,7522,362,
228,236,385,
228,250,396,
229,236,377,
231,239,380,
232,238,379,
232,7523,369,
233,258,381,
233,7524,370,
234,7524,371,
235,252,373,
235,273,415,
237,238,378,
237,7526,388,
239,251,397,
240,255,402,
240,7525,382,
241,256,403,
241,7525,383,
241,7530,407,
242,272,386,
243,261,409,
243,262,410,
243,7526,387,
244,245,390,
244,7526,389,
245,246,391,
245,247,392,
246,248,393,
247,257,404,
248,249,394,
249,263,413,
249,275,432,
250,274,437,
250,278,435,
250,302,454,
251,259,406,
252,7527,398,
253,275,433,
253,278,434,
253,320,453,
254,301,461,
254,7528,400,
255,260,420,
255,268,421,
255,269,422,
256,260,417,
256,265,416,
256,266,418,
257,261,411,
257,263,412,
258,7529,405,
259,264,414,
260,267,419,
260,7530,408,
262,268,423,
262,275,429,
262,276,430,
264,274,428,
265,288,446,
266,287,445,
267,289,447,
268,270,424,
268,271,425,
269,290,448,
270,291,449,
272,292,426,
273,279,427,
274,280,438,
275,277,431,
276,293,451,
277,294,452,
279,281,436,
280,283,441,
280,284,442,
281,282,439,
282,7531,440,
283,285,443,
283,286,444,
284,295,455,
287,299,462,
288,297,457,
288,298,458,
289,290,482,
289,303,483,
290,7537,509,
291,308,471,
292,304,450,
293,314,477,
293,315,478,
294,314,479,
294,323,484,
295,305,467,
295,306,468,
296,298,456,
296,299,459,
297,299,465,
297,303,464,
300,397,581,
300,7532,460,
301,316,510,
301,340,512,
302,317,463,
303,316,480,
304,334,466,
305,319,486,
306,307,469,
307,309,470,
308,316,506,
308,335,504,
308,336,505,
309,311,472,
310,343,516,
310,7533,473,
311,312,474,
312,313,475,
313,324,476,
316,339,511,
317,318,481,
318,322,485,
319,325,492,
320,7534,487,
321,329,498,
321,7534,488,
322,7534,489,
323,7534,490,
324,326,491,
325,328,495,
325,342,513,
325,7535,497,
326,327,493,
327,333,494,
328,330,496,
330,331,499,
331,332,500,
332,337,501,
333,338,502,
334,347,503,
336,350,523,
336,357,524,
337,7536,507,
338,7536,508,
339,351,527,
339,7540,537,
340,348,521,
341,342,514,
341,353,528,
342,344,515,
343,354,529,
344,7538,517,
345,7539,518,
346,349,522,
346,7539,519,
347,371,520,
348,355,530,
349,358,533,
350,372,550,
350,373,551,
351,352,526,
351,357,525,
352,356,531,
353,359,534,
354,366,543,
355,363,540,
356,361,536,
356,7540,539,
357,360,532,
358,365,542,
359,364,541,
360,361,535,
361,375,553,
362,375,554,
362,376,555,
362,378,556,
362,7540,538,
363,370,547,
364,369,546,
365,372,548,
365,411,568,
366,384,564,
367,368,545,
367,382,544,
368,374,552,
369,381,561,
371,393,549,
372,7544,574,
373,395,582,
374,385,580,
374,392,576,
375,388,570,
376,388,571,
376,389,572,
377,378,557,
377,390,588,
377,428,628,
378,7541,558,
379,390,573,
379,7541,559,
380,436,584,
380,7541,560,
381,404,585,
381,411,567,
381,7551,613,
382,7542,562,
383,385,565,
383,7542,563,
384,402,593,
385,416,600,
386,396,566,
387,7543,569,
387,7545,578,
387,7550,608,
388,401,590,
389,400,591,
389,401,592,
390,399,589,
391,398,587,
391,7544,575,
392,408,602,
392,409,603,
393,422,577,
394,425,597,
394,7545,579,
394,7547,599,
395,423,619,
395,424,620,
396,437,583,
397,405,586,
397,439,697,
399,412,606,
400,424,622,
400,427,625,
400,428,626,
401,424,623,
402,477,749,
402,553,790,
403,7546,594,
404,7546,595,
405,408,596,
406,413,631,
406,432,633,
406,7547,598,
407,417,612,
407,7548,601,
407,7556,639,
409,419,615,
409,452,650,
410,7549,604,
411,7549,605,
413,430,630,
413,431,632,
413,7550,607,
414,421,609,
414,7555,637,
415,429,627,
415,434,610,
416,417,611,
418,7551,614,
419,444,648,
419,464,659,
419,7554,636,
420,446,652,
420,455,658,
420,7552,616,
421,440,617,
422,458,618,
423,426,672,
423,445,670,
423,7581,757,
424,426,624,
425,432,621,
426,427,680,
427,431,674,
427,463,681,
428,430,629,
429,448,654,
431,443,673,
433,449,655,
433,7553,634,
433,7561,656,
434,7554,635,
435,441,645,
435,7555,638,
436,462,640,
437,7557,641,
438,489,692,
438,7557,642,
439,473,696,
439,664,844,
439,7558,643,
440,7558,644,
441,447,653,
442,7559,646,
443,449,675,
443,7559,647,
444,452,649,
444,457,668,
444,486,742,
445,456,667,
445,7560,651,
445,7563,664,
446,451,695,
446,7564,665,
446,7576,734,
447,471,686,
448,450,657,
448,467,689,
449,453,677,
449,460,676,
451,454,660,
452,7562,661,
453,7562,662,
454,7563,663,
455,469,666,
456,478,702,
456,479,703,
456,7573,709,
457,474,698,
457,518,755,
458,504,669,
459,488,671,
460,481,705,
460,7571,704,
461,485,712,
461,7565,678,
462,7566,679,
463,480,706,
463,481,707,
464,7567,682,
465,466,684,
465,467,685,
465,7567,683,
466,486,714,
466,507,736,
467,509,717,
467,7569,690,
468,469,688,
468,7568,687,
470,497,727,
470,498,728,
470,509,716,
470,7569,691,
471,7570,693,
472,475,699,
472,7570,694,
473,497,751,
473,537,785,
473,7591,817,
474,483,710,
474,522,759,
474,7574,713,
475,484,711,
476,477,701,
476,496,700,
477,516,750,
477,569,772,
480,494,724,
480,495,725,
482,500,730,
482,7572,708,
484,487,715,
485,570,823,
486,540,773,
487,503,733,
488,531,718,
489,524,719,
490,491,720,
490,493,781,
491,495,721,
492,495,722,
493,494,782,
493,495,723,
494,535,783,
496,7575,726,
498,501,731,
498,502,732,
499,512,729,
500,517,762,
502,517,752,
503,515,748,
504,532,735,
505,7577,737,
506,556,812,
506,7577,738,
507,7578,739,
508,519,754,
508,7578,740,
509,7578,741,
510,523,764,
510,524,765,
510,7579,743,
511,521,763,
511,7579,744,
512,7580,745,
513,526,767,
513,544,777,
513,7580,746,
514,7580,747,
515,521,758,
516,533,779,
518,522,760,
518,539,753,
518,549,775,
519,525,766,
519,540,774,
520,565,826,
520,578,838,
520,7581,756,
522,550,809,
522,7582,761,
523,536,784,
523,7587,804,
525,538,786,
525,562,791,
526,527,768,
527,528,769,
528,529,770,
529,530,771,
530,545,799,
530,546,798,
531,567,776,
532,564,778,
533,553,807,
534,558,780,
535,542,793,
535,543,794,
536,548,808,
536,632,859,
537,562,821,
537,588,843,
537,7607,882,
539,7583,787,
540,562,792,
540,7584,788,
541,549,802,
541,550,803,
541,7584,789,
541,7592,820,
542,545,796,
543,565,830,
543,566,827,
544,7585,795,
545,546,797,
546,563,822,
547,7586,800,
548,7586,801,
550,7594,831,
551,560,818,
551,604,833,
551,7587,805,
552,571,848,
552,572,836,
552,7588,806,
553,7600,854,
554,595,867,
554,7589,810,
554,7593,824,
555,557,813,
555,558,814,
555,559,815,
555,7590,811,
556,606,891,
557,576,845,
559,7591,816,
560,587,840,
560,591,861,
561,588,842,
561,7592,819,
563,566,863,
563,590,865,
564,615,825,
565,568,829,
566,589,864,
566,7604,873,
567,611,828,
568,7604,871,
568,7610,900,
569,7595,832,
570,7596,834,
571,7596,835,
571,7606,876,
573,578,837,
573,585,856,
574,580,850,
574,586,858,
