Start,-79.9771842461914,40.4457670120627,-79.9767983759624,40.4459289475395,WYLIE AVE,122.53334248,20.9242051585497
Trans,-79.9764931103236,40.4456638464628,-79.9767983759624,40.4459289475395,KIRKPATRICK ST,131.87624865,14.0540310787898
Trans,-79.9762355711505,40.445306525356,-79.9764931103236,40.4456638464628,KIRKPATRICK ST,148.60239726,10.1073368087239
Trans,-79.9762355711505,40.445306525356,-79.9746308558342,40.4452124901971,CENTRE AVE,447.97544843,16.8700869043028
Trans,-79.9746308558342,40.4452124901971,-79.9739840262529,40.4452020287048,CENTRE AVE,182.28408952,8.52763958761472
Trans,-79.9739840262529,40.4452020287048,-79.9721808737853,40.4457392076794,CENTRE AVE,554.48749139,13.6489943099319
Trans,-79.9721808737853,40.4457392076794,-79.9718983039093,40.4456715322389,CENTRE AVE,82.41900215,13.6398255117542
Trans,-79.9718983039093,40.4456715322389,-79.9708732999657,40.4454050634799,CENTRE AVE,301.49935223,12.6855465133741
Trans,-79.9708732999657,40.4454050634799,-79.9706592128132,40.4454772680125,CENTRE AVE,65.13291193,13.7120969417322
Trans,-79.9706592128132,40.4454772680125,-79.970358999304,40.4455785268972,CENTRE AVE,91.33673233,13.7120969417322
Trans,-79.970358999304,40.4455785268972,-79.9689668008472,40.4460822037537,CENTRE AVE,429.00759037,13.5191850367297
Trans,-79.9689668008472,40.4460822037537,-79.9683824261692,40.4464829852612,CENTRE AVE,218.61439031,17.3030464246499
Trans,-79.9683824261692,40.4464829852612,-79.9674846846601,40.4471044344198,CENTRE AVE,337.16990687,20.2895621609355
Trans,-79.9674846846601,40.4471044344198,-79.9667078234096,40.4476354733543,CENTRE AVE,290.12798334,26.928956808263
Trans,-79.9667078234096,40.4476354733543,-79.9652888094644,40.4486232083439,CENTRE AVE,534.3004642,26.8512031143682
Trans,-79.9652888094644,40.4486232083439,-79.964905348605,40.4488536681289,CENTRE AVE,135.89730928,21.0405679546176
Trans,-79.964905348605,40.4488536681289,-79.9644321732977,40.4488702945317,CENTRE AVE,132.21020992,19.9355571859417
Trans,-79.9644321732977,40.4488702945317,-79.9622680710809,40.4488668733718,CENTRE AVE,602.76113006,26.8139980126119
Trans,-79.9622680710809,40.4488668733718,-79.9615742387216,40.448740093434,CENTRE AVE,198.66196106,26.3142501487581
Trans,-79.9615742387216,40.448740093434,-79.9584736546655,40.4484491162903,CENTRE AVE,888.85635286,23.9137657505276
Trans,-79.9584736546655,40.4484491162903,-79.9577103858545,40.448972454236,CENTRE AVE,285.66243715,22.2381638583507
Trans,-79.9577103858545,40.448972454236,-79.9567778450908,40.4496230964436,CENTRE AVE,351.56719759,27.5333822725599
Trans,-79.9567778450908,40.4496230964436,-79.9549121695765,40.450953219531,CENTRE AVE,710.67163669,22.1158020630627
Trans,-79.9549121695765,40.450953219531,-79.9540463606696,40.4512785363083,CENTRE AVE,269.91814726,23.8361659132458
Trans,-79.9540463606696,40.4512785363083,-79.9533482652444,40.4514882599333,CENTRE AVE,208.766875,22.600594466047
Trans,-79.9533482652444,40.4514882599333,-79.9526410707378,40.4516947212598,CENTRE AVE,210.69262811,21.2014631095483
Trans,-79.9526410707378,40.4516947212598,-79.9520177655396,40.4518835337109,CENTRE AVE,186.61039026,20.4375041851071
Trans,-79.9520177655396,40.4518835337109,-79.9508614514437,40.4522335146302,CENTRE AVE,346.13570554,33.5093699352215
Trans,-79.9508614514437,40.4522335146302,-79.949895061028,40.4525246945809,CENTRE AVE,289.10456322,27.124355700241
Trans,-79.949895061028,40.4525246945809,-79.9496880875218,40.4525845802642,CENTRE AVE,61.59260928,29.0059365310857
Trans,-79.9496880875218,40.4525845802642,-79.9490808441733,40.4527704114985,CENTRE AVE,182.0473218,21.3236087536797
Trans,-79.9490808441733,40.4527704114985,-79.9473463965136,40.4532906989389,CENTRE AVE,518.5811017,22.478855867766
Trans,-79.9473463965136,40.4532906989389,-79.9463897747141,40.4535791750569,CENTRE AVE,286.21056442,20.9194279265059
Trans,-79.9463897747141,40.4535791750569,-79.9444487643791,40.4541597201781,DICKSON ST,155.42218476,20.9809174075553
Trans,-79.9444487643791,40.4541597201781,-79.9428780750735,40.4546269373985,CENTRE AVE,469.07085878,25.8865672132438
Trans,-79.9428780750735,40.4546269373985,-79.9414934541843,40.455039713568,CENTRE AVE,413.62150677,19.929986501193
Trans,-79.9414934541843,40.455039713568,-79.9385912144002,40.4559097010143,CENTRE AVE,867.62392492,20.2601902720082
Trans,-79.9385912144002,40.4559097010143,-79.9364753967806,40.4565369443625,MANSION ST,208.85179868,24.1948733267999
Trans,-79.9364753967806,40.4565369443625,-79.9340572640225,40.4572618035797,CENTRE AVE,722.87047139,21.8163685746976
Trans,-79.9340572640225,40.4572618035797,-79.9320128184022,40.4578704472332,CENTRE AVE,610.59620941,21.2972163544297
Trans,-79.9320128184022,40.4578704472332,-79.92895170215,40.4587666576279,CENTRE AVE,903.97176393,28.2021169162436
Trans,-79.92895170215,40.4587666576279,-79.9277710478161,40.4591427188401,PENN CIR S,364.38661384,21.1944005652314
Trans,-79.9277710478161,40.4591427188401,-79.9274675810632,40.459232093133,PENN CIR S,90.50407182,22.2280823882593
Trans,-79.9274675810632,40.459232093133,-79.9269006003845,40.4594033088141,PENN CIR S,169.65403854,23.4798803079207
Trans,-79.9269006003845,40.4594033088141,-79.9263970163181,40.459545542862,PENN CIR S,149.44289678,19.1131966952476
Trans,-79.9263970163181,40.459545542862,-79.9250428257588,40.4599541594716,PENN CIR S,405.68307956,26.1466508478688
Trans,-79.9250428257588,40.4599541594716,-79.9243368181317,40.4601608505076,PENN CIR S,210.39136624,21.6909420011439
Trans,-79.9243368181317,40.4601608505076,-79.923497199955,40.4604064116836,PENN CIR S,250.17495898,20.8982492729946
Trans,-79.923497199955,40.4604064116836,-79.9227225155921,40.4606559341915,PENN CIR S,234.00387363,21.4464314990379
Trans,-79.9227225155921,40.4606559341915,-79.9223545659197,40.4612162181089,PENN CIR E,228.53174711,23.6006085677109
Trans,-79.9223545659197,40.4612162181089,-79.9220768889747,40.4616635126376,PENN CIR E,180.34054777,23.720508218369
Trans,-79.9220768889747,40.4616635126376,-79.9215584709002,40.4614718490219,BROAD ST,160.26459807,27.0995542444288
Trans,-79.9215584709002,40.4614718490219,-79.9212097611496,40.4613474723752,BROAD ST,107.09169994,26.4783972660002
Trans,-79.9212097611496,40.4613474723752,-79.9208316160678,40.4612140236333,BROAD ST,115.91012581,26.4783972660002
Trans,-79.9208316160678,40.4612140236333,-79.9185207220578,40.4605063318447,BROAD ST,697.09148795,25.5597196429943
Trans,-79.9185207220578,40.4605063318447,-79.9181175663962,40.4605363976146,BROAD ST,112.71565535,30.5460068621703
Trans,-79.9181175663962,40.4605363976146,-79.9166668652633,40.4606797581138,KRUPP ST,99.40280698,28.7605363112248
Trans,-79.9166668652633,40.4606797581138,-79.9159045598674,40.4607891328622,BROAD ST,215.83733836,25.1788393674671
Trans,-79.9159045598674,40.4607891328622,-79.9157088966375,40.4608181011636,BROAD ST,55.45871864,26.086343974156
Trans,-79.9157088966375,40.4608181011636,-79.9151594411301,40.460894804217,FRANKSTOWN AVE,155.42387393,29.5409994059411
Trans,-79.9151594411301,40.460894804217,-79.9137904946983,40.4604261912899,FRANKSTOWN AVE,417.42984035,27.3922546842666
Trans,-79.9137904946983,40.4604261912899,-79.9123771905659,40.4599469793396,FRANKSTOWN AVE,430.27619199,5.27974529643465
Trans,-79.9123771905659,40.4599469793396,-79.9117716499186,40.4597424165556,FRANKSTOWN AVE,184.24384382,14.338349362995
Trans,-79.9117716499186,40.4597424165556,-79.9113460016152,40.4595985838833,FRANKSTOWN AVE,129.51558682,25.2064246489815
Trans,-79.9113460016152,40.4595985838833,-79.9108982008295,40.4594505307023,FRANKSTOWN AVE,135.78858868,27.4168818205189
Trans,-79.9108982008295,40.4594505307023,-79.9105418585389,40.4593380068179,FRANKSTOWN AVE,107.29707333,26.7868809707089
Trans,-79.9106745877391,40.4587823310727,-79.9105418585389,40.4593380068179,TORRENS ST,205.84207464,14.2227859745412
Trans,-79.9106745877391,40.4587823310727,-79.9082947972864,40.4583306568065,TRANSIT WAY,682.54682527,14.7317235552334
Trans,-79.9082947972864,40.4583306568065,-79.908039780233,40.4586741824186,5TH AVE,143.87214625,12.1579071070282
Trans,-79.908039780233,40.4586741824186,-79.9060810406769,40.458320829958,FRANKSTOWN AVE,560.46774312,0.891204720048824
Trans,-79.9060810406769,40.458320829958,-79.905653752591,40.4582515735967,FRANKSTOWN AVE,121.54863551,34.7532241108275
Trans,-79.905653752591,40.4582515735967,-79.9049944519727,40.4581493154427,FRANKSTOWN AVE,187.2171784,28.3983855999752
Trans,-79.9049944519727,40.4581493154427,-79.9042720271095,40.4581105249132,FRANKSTOWN AVE,202.20314646,21.8647935803177
Trans,-79.9042720271095,40.4581105249132,-79.9040674261812,40.458007251718,BENNETT ST,68.24217915,26.7445707569069
Trans,-79.9040674261812,40.458007251718,-79.9014791839787,40.457554433013,BENNETT ST,739.1516463,26.7445707569069
Trans,-79.9014791839787,40.457554433013,-79.8988935577386,40.4569709956478,SHADY AVE,243.92715505,31.1806367587858
Trans,-79.8988935577386,40.4569709956478,-79.8983564064376,40.4568517560409,BENNETT ST,155.66342137,24.8466904001264
Trans,-79.8983564064376,40.4568517560409,-79.8971872787267,40.4565843128357,BENNETT ST,339.61597087,31.9821206448319
Trans,-79.8971872787267,40.4565843128357,-79.8966599746115,40.4564636816933,BENNETT ST,153.17598396,24.62945403051
Trans,-79.8966599746115,40.4564636816933,-79.8961254301314,40.4563413800078,BENNETT ST,155.28086719,26.0126337404162
Trans,-79.8961254301314,40.4563413800078,-79.8945024537918,40.4559733616185,BENNETT ST,471.12434301,23.4009419851869
Trans,-79.8945024537918,40.4559733616185,-79.8922648053719,40.4554632079389,BENNETT ST,649.83673069,21.3618517334579
Trans,-79.8922648053719,40.4554632079389,-79.8903801842455,40.4550327095643,BENNETT ST,547.40353418,21.3232667854991
Trans,-79.8903801842455,40.4550327095643,-79.8890238701979,40.4547262624361,BENNETT ST,393.60461968,22.9717451153733
Trans,-79.8890238701979,40.4547262624361,-79.888458151587,40.4545976391085,BENNETT ST,164.25637262,21.4653707558114
Trans,-79.888458151587,40.4545976391085,-79.8878915370119,40.4544690287208,BENNETT ST,164.49407043,19.2754997623501
Trans,-79.8878915370119,40.4544690287208,-79.8870518399106,40.4542790615679,BENNETT ST,243.70833861,17.9930434209102
Trans,-79.8870518399106,40.4542790615679,-79.8868072187202,40.4542237668528,BENNETT ST,70.99258113,51.9926278326565
Trans,-79.8868072187202,40.4542237668528,-79.8856397669634,40.4540159352693,BENNETT ST,334.05581061,34.5903177439744
Trans,-79.8854684963177,40.4534359252476,-79.8856397669634,40.4540159352693,OAKWOOD ST,221.19616083,17.3524544241464
Trans,-79.8853138895488,40.4528809570042,-79.8854684963177,40.4534359252476,OAKWOOD ST,206.71203265,17.3770860892935
Trans,-79.8852130457111,40.4525481762072,-79.8853138895488,40.4528809570042,OAKWOOD ST,124.43782024,16.7902447099361
Trans,-79.8847776443079,40.4518515792791,-79.8852130457111,40.4525481762072,OAKWOOD ST,283.49253242,16.7860263512232
Trans,-79.8847429387228,40.4517203368904,-79.8847776443079,40.4518515792791,OAKWOOD ST,48.77756537,18.0658563029998
End,-79.8845628722829,40.4510136169187,-79.8847429387228,40.4517203368904,OAKWOOD ST,262.29104412,17.1416068967488
Start,-79.9567780562277,40.4633346812533,-79.9568805506992,40.4636766064853,CHRISTIAN WAY,127.78659762,21.2521393113946
Trans,-79.9566481094383,40.4629235421844,-79.9567780562277,40.4633346812533,SARATOGA ST,108.22524823,19.6705080475915
