postal,FEA_ID,BUILDING_NAME,HOUSE_BLK_,Land_use,ROAD_NAME,X_ADDR,Y_ADDR,lat-js,lon-js
679939,124644,BANGKIT LRT STATION,20,Instituitional,BUKIT PANJANG RING ROAD,21249.34116,40220.4658,1.380012677,103.7726586
627642,238442,BANYAN FIRE STATION,15,Instituitional,BANYAN ROAD,10275.0109,26301.9549,1.254134483,103.6740543
718930,114258,BBC TRANSMITTING STATION,51,Instituitional,TURUT TRACK,16762.79027,45063.1027,1.423806297,103.7323418
574029,95610,BISHAN FIRE STATION,1,Instituitional,MARYMOUNT LANE,28603.71004,36692.1162,1.348104315,103.838743
678268,124638,BUKIT PANJANG LRT STATION,11,Instituitional,PETIR ROAD,20183.0106,39989.6964,1.377925418,103.7630769
689813,124647,CHOA CHU KANG LRT STATION,15,Instituitional,CHOA CHU KANG AVENUE 4,18119.61651,40741.4647,1.38472351,103.7445355
828856,224260,CORAL EDGE LRT STATION,70,Instituitional,PUNGGOL FIELD,36821.21007,41737.6493,1.393732978,103.9125838
828858,223965,COVE LRT STATION,50,Instituitional,PUNGGOL FIELD,36086.86965,42348.5869,1.399258288,103.9059853
828855,223962,DAMAI LRT STATION,40,Instituitional,PUNGGOL DRIVE,36377.1055,42989.9978,1.40505889,103.9085935
679004,124643,FAJAR LRT STATION,40,Instituitional,FAJAR ROAD,21045.14741,40719.2416,1.384523377,103.7708236
797698,225429,FERNVALE LRT STATION,10,Instituitional,FERNVALE ROAD,32783.29696,41536.0801,1.391911006,103.8762999
627839,216506,FILLING STATION AT JURONG ISLAND,10,Instituitional,MERLIMAU PLACE,14681.07262,28964.052,1.278211629,103.7136428
597657,241227,FILLING STATION AT OLD TOH TUCK ROAD,50,Instituitional,OLD TOH TUCK ROAD,19710.85838,35157.4877,1.33422455,103.7588356
554500,237717,FILLING STATION AT SERANGOON NORTH,9A,Instituitional,SERANGOON NORTH AVENUE 5,31982.43236,39749.1521,1.375750794,103.8691033
619135,241603,ICA JURONG SCANNING STATION,8,Instituitional,JURONG PIER WAY,14493.3432,32433.9891,1.30959237,103.7119545
679941,124641,JELAPANG LRT STATION,70,Instituitional,BUKIT PANJANG RING ROAD,20340.72365,40958.8858,1.386690455,103.7644938
649922,42720,JURONG FIRE STATION,25,Instituitional,BOON LAY DRIVE,14384.91544,35993.4922,1.341783135,103.7109786
627880,40725,JURONG ISLAND FIRE STATION,70,Instituitional,JURONG ISLAND HIGHWAY,14075.77,28269.3379,1.271928632,103.7082042
828853,224258,KADALOOR LRT STATION,60,Instituitional,PUNGGOL DRIVE,37255.32421,42367.0861,1.399425237,103.9164848
