"postal","FEA_ID","BUILDING_NAME","HOUSE_BLK_","Land_use","ROAD_NAME","X_ADDR","Y_ADDR","lat.js","lon.js","from","to","travel_time","weight","RD_CD","SHAPE_LEN","max_speed","from.x","from.y","to.y","to.x","node_idx"
679939,124644,"BANGKIT LRT STATION","20","Instituitional","BUKIT PANJANG RING ROAD",21249.34116,40220.4658,1.380012677,103.7726586,"2661","11617",0.399705,60,"LIK03W",399.705,60,103.771,1.38028,1.38063,103.769,1474
574029,95610,"BISHAN FIRE STATION","1","Instituitional","MARYMOUNT LANE",28603.71004,36692.1162,1.348104315,103.838743,"5106","12406",0.107899,40,"LAP01N",71.9325,40,103.836,1.35038,1.34829,103.838,8594
678268,124638,"BUKIT PANJANG LRT STATION","11","Instituitional","PETIR ROAD",20183.0106,39989.6964,1.377925418,103.7630769,"6260","6580",0.648591,60,"PAP05B",648.591,60,103.763,1.38072,1.37967,103.761,1285
689813,124647,"CHOA CHU KANG LRT STATION","15","Instituitional","CHOA CHU KANG AVENUE 4",18119.61651,40741.4647,1.38472351,103.7445355,"1766","11935",0.140138,50,"HIS00Y",116.782,50,103.743,1.38383,1.38191,103.74,893
828856,224260,"CORAL EDGE LRT STATION","70","Instituitional","PUNGGOL FIELD",36821.21007,41737.6493,1.393732978,103.9125838,"87","11213",0.320889,50,"PUF02Z",267.407,50,103.911,1.39524,1.39678,103.909,6446
828858,223965,"COVE LRT STATION","50","Instituitional","PUNGGOL FIELD",36086.86965,42348.5869,1.399258288,103.9059853,"10873","7941",0.0837395,50,"GAA03Y",69.7829,50,103.905,1.39996,1.39687,103.904,6141
828855,223962,"DAMAI LRT STATION","40","Instituitional","PUNGGOL DRIVE",36377.1055,42989.9978,1.40505889,103.9085935,"10399","14655",0.164795,50,"BOK01Q",137.33,50,103.908,1.40711,1.40582,103.908,9546
679004,124643,"FAJAR LRT STATION","40","Instituitional","FAJAR ROAD",21045.14741,40719.2416,1.384523377,103.7708236,"11026","2960",0.0766849,50,"SUR02D",63.9041,50,103.772,1.38623,1.38783,103.769,1451
797698,225429,"FERNVALE LRT STATION","10","Instituitional","FERNVALE ROAD",32783.29696,41536.0801,1.391911006,103.8762999,"8905","7119",0.114279,50,"BIS12L",95.2326,50,103.874,1.39087,1.39127,103.869,4934
627839,216506,"FILLING STATION AT JURONG ISLAND","10","Instituitional","MERLIMAU PLACE",14681.07262,28964.052,1.278211629,103.7136428,"9","5187",0.0695699,70,"BRA00Y",81.1648,70,103.709,1.27513,1.27719,103.713,698
597657,241227,"FILLING STATION AT OLD TOH TUCK ROAD","50","Instituitional","OLD TOH TUCK ROAD",19710.85838,35157.4877,1.33422455,103.7588356,"10709","814",0.183646,40,"NAD00Y",122.43,40,103.758,1.33436,1.33189,103.757,1183
554500,237717,"FILLING STATION AT SERANGOON NORTH","9A","Instituitional","SERANGOON NORTH AVENUE 5",31982.43236,39749.1521,1.375750794,103.8691033,"9450","15009",0.135219,40,"SEA07X",90.1457,40,103.867,1.37849,1.37611,103.867,9056
