name,velocity
ABINGDON ROAD,5090
ADAM PARK,50
ADIS ROAD,50
ADMIRALTY LANE,50
ADMIRALTY ROAD,60
ADAM DRIVE,50
ADAM ROAD,70
ADMIRALTY DRIVE,50
ADMIRALTY LINK,50
ADMIRALTY ROAD EAST,60
ADMIRALTY ROAD WEST,70
ADMIRALTY STREET,50
AH SOO GARDEN,50
AHMADIYYA CEMETERY PATH 1,50
AIRLINE ROAD,50
ADMIRALTY ROAD WEST,60
AH HOOD ROAD,50
AH SOO WALK,50
AIDA STREET,40
AIRPORT BOULEVARD,70
AIRPORT CARGO ROAD,50
AKYAB ROAD,50
ALEXANDRA CLOSE,40
ALEXANDRA PARK,40
ALEXANDRA ROAD NORTH HOUSING ESTATE,40
AIRPORT ROAD,50
ALBERT STREET,50
ALEXANDRA LANE,50
ALEXANDRA ROAD,60
ALEXANDRA TERRACE,50
ALIWAL STREET,50
ALJUNIED AVENUE 2,50
ALJUNIED AVENUE 4,50
ALJUNIED CRESCENT,50
ALKAFF AVENUE,50
ALJUNIED AVENUE 1,50
ALJUNIED AVENUE 3,50
ALJUNIED AVENUE 5,50
ALJUNIED ROAD,60
ALLAMANDA GROVE,50
ALLANBROOKE ROAD,40
ALMOND AVENUE,50
ALMOND STREET,50
ALPS AVENUE,50
AMBER GARDENS,50
ALLENBY ROAD,50
ALMOND CRESCENT,50
ALNWICK ROAD,40
AMA KENG ROAD,50
AMBER ROAD,50
AMOY STREET,50
ANAMALAI AVENUE,50
ANCHORVALE CRESCENT,50
ANCHORVALE LANE,50
ANCHORVALE ROAD,50
AMPANG WALK,50
ANCHORVALE CLOSE,50
ANCHORVALE DRIVE,50
ANCHORVALE LINK,50
ANCHORVALE STREET,50
ANCHORVALE WALK,50
ANDOVER ROAD,40
ANDREWS AVENUE,50
ANG MO KIO AVENUE 1,70
ANG MO KIO AVENUE 12,50
ANDERSON ROAD,50
ANDREW ROAD,40
ANDREWS TERRACE,50
ANG MO KIO AVENUE 10,50
ANG MO KIO AVENUE 2,50
ANG MO KIO AVENUE 3,60
ANG MO KIO AVENUE 5,60
ANG MO KIO AVENUE 8,60
ANG MO KIO CENTRAL 1,50
ANG MO KIO CENTRAL 3,50
ANG MO KIO AVENUE 4,50
ANG MO KIO AVENUE 6,60
ANG MO KIO AVENUE 9,50
ANG MO KIO CENTRAL 2,50
ANG MO KIO INDUSTRIAL PARK 1,50
ANG MO KIO INDUSTRIAL PARK 2,50
ANG MO KIO STREET 11,50
ANG MO KIO STREET 13,50
ANG MO KIO STREET 22,50
ANG MO KIO STREET 24,50
ANG MO KIO INDUSTRIAL PARK 2A,50
ANG MO KIO STREET 12,50
ANG MO KIO STREET 21,50
ANG MO KIO STREET 23,50
ANG MO KIO STREET 31,50
ANG MO KIO STREET 32,50
ANG MO KIO STREET 42,50
ANG MO KIO STREET 44,50
ANG MO KIO STREET 52,50
ANG MO KIO STREET 54,50
ANG MO KIO STREET 41,50
ANG MO KIO STREET 43,50
ANG MO KIO STREET 51,50
ANG MO KIO STREET 53,50
ANG MO KIO STREET 61,50
ANG MO KIO STREET 62,50
ANG MO KIO STREET 64,50
ANG MO KIO STREET 66,50
ANGORA CLOSE,40
ANGSANA DRIVE,50
ANG MO KIO STREET 63,50
ANG MO KIO STREET 65,50
ANGKLONG LANE,50
ANGSANA AVENUE,40
ANGSANA ROAD,50
ANGULLIA PARK,50
ANN SIANG HILL,50
ANSON ROAD,50
ARAB STREET,50
ARCADIA ROAD,50
ANGUS STREET,50
ANN SIANG ROAD,50
ANTHONY ROAD,50
ARANG DRIVE,50
ARCHITECTURE DRIVE 1,40
ARDMORE PARK,50
ARNASALAM CHETTY ROAD,50
AROOZOO LANE,50
ARTHUR ROAD,50
ARTILLERY CLOSE,50
ARMENIAN STREET,50
AROOZOO AVENUE,40
ARRIVAL CRESCENT,40
ARTILLERY AVENUE,50
ARTILLERY LINK,50
ARTS LINK,40
ASCOT RISE,50
ASHWOOD GROVE,40
ASTRID HILL,50
AUCKLAND ROAD EAST,50
ARUMUGAM ROAD,40
ASH GROVE,50
ASIMONT LANE,50
ATTAP VALLEY ROAD,50
AUCKLAND ROAD WEST,50
AVA ROAD,50
AVON ROAD,50
AYER RAJAH AVENUE,50
AYER RAJAH EXPRESSWAY,90
AYER RAJAH ,80
AVIATION DRIVE,50
AYER MERBAU ROAD,50
AYER RAJAH CRESCENT,50
AYER RAJAH EXPRESSWAY,90
AYER RAJAH EXPRESSWAY,80
AYER RAJAH EXPRESSWAY,80
AYER SAMAK CRESCENT,50
AYER SAMAK LANE,50
AYER RAJAH EXPRESSWAY,80
AYER SAMAK HEIGHTS,50
BABOO LANE,50
BAH SOON PAH ROAD,40
BAKER STREET,50
BALESTIER ROAD,60
BALLATER CLOSE,40
BAGHDAD STREET,50
BAIN STREET,50
BALAM ROAD,40
BALI LANE,50
BALMEG HILL,50
BALMORAL CRESCENT,50
BALMORAL ROAD,50
BAN GUAN PARK HOUSING ESTATE,40
BANDA STREET,50
BANYAN AVENUE,50
BALMORAL PARK,50
BAMBOO GROVE PARK HOUSING ESTATE,40
BAN SAN STREET,50
BANGKIT ROAD,50
BANYAN DRIVE,50
BANYAN PLACE,50
BANYAN VIEW,50
BARKER ROAD,50
BARTLEY ROAD,60
BARTLEY VIADUCT,70
BANYAN ROAD,50
BARBARY WALK,40
BARTLEY ROAD,70
BARTLEY ROAD EAST,50
BASEMENT DRIVE,40
BASSEIN ROAD,50
BATTERY ROAD,50
BAYFRONT AVENUE,50
BAYSHORE ROAD,50
BEACH ROAD,50
BATH ROAD,50
BATU KOYOK CRESCENT,50
BAYS WATER ROAD,40
BAYSWATER ROAD,50
BEACH VIEW,50
BEATTY LANE,50
BEAULIEU ROAD,50
BEDOK AVENUE,50
BEDOK CLOSE,50
BEDOK INDUSTRIAL PARK C,50
BEATTY ROAD,50
BEDFORD ROAD,50
BEDOK CENTRAL,50
BEDOK GARDEN,50
BEDOK INDUSTRIAL PARK E,50
BEDOK JUNCTION,50
BEDOK NORTH AVENUE 1,60
BEDOK NORTH AVENUE 3,60
BEDOK NORTH DRIVE,50
BEDOK NORTH ROAD,60
BEDOK LANE,50
BEDOK NORTH AVENUE 2,50
BEDOK NORTH AVENUE 4,50
BEDOK NORTH INTERCHANGE,50
BEDOK NORTH STREET 1,50
BEDOK NORTH STREET 2,50
BEDOK NORTH STREET 4,50
BEDOK PLACE,50
BEDOK RESERVOIR ROAD,60
BEDOK RIA CRESCENT,50
BEDOK NORTH STREET 3,50
BEDOK NORTH STREET 5,50
BEDOK RESERVOIR CRESCENT,50
BEDOK RESERVOIR VIEW,50
BEDOK RIA DRIVE,50
BEDOK RIA PLACE,50
BEDOK RIA WALK,50
BEDOK ROAD,50
BEDOK SOUTH AVENUE 2,50
BEDOK SOUTH ROAD,60
BEDOK RIA TERRACE,50
BEDOK RISE,50
BEDOK SOUTH AVENUE 1,60
BEDOK SOUTH AVENUE 3,50
BEDOK TERRACE,50
BEDOK WALK,50
BEECHWOOD GROVE,40
BEGONIA DRIVE,50
BEGONIA ROAD,50
BEGONIA WALK,50
BEE SAN AVENUE,40
BEGONIA CRESCENT,50
BEGONIA LANE,50
BEGONIA TERRACE,50
BELANG WAY,50
BELILIOS LANE,50
BELIMBING AVENUE,40
BELVEDERE CLOSE,50
BENCOOLEN STREET,50
BENG HUAT ROAD,50
BELILIOS ROAD,50
BELMONT ROAD,40
BENCOOLEN LINK,50
BENDEMEER ROAD,60
BENG WAN ROAD,50
BENOI CRESCENT,50
BENOI PLACE,50
BENOI SECTOR,50
BERKSHIRE ROAD,40
BERNAM STREET,50
BENOI LANE,50
BENOI ROAD,60
BEO CRESCENT,50
BERMUDA ROAD,50
BERRIMA ROAD,50
BERWICK DRIVE,40
BIDEFORD ROAD,50
BILAL LANE,50
BINCHANG RISE,50
BINJAI HILL,40
BHAMO ROAD,50
BIGGIN HILL ROAD,40
BIN TONG PARK,50
BINCHANG WALK,50
BINJAI PARK,40
BINJAI PARK HOUSING ESTATE,40
BINJAI WALK,40
BIOPOLIS DRIVE,50
BIOPOLIS ROAD,50
BIOPOLIS WAY,50
BINJAI RISE,40
BIOMEDICAL GROVE,50
BIOPOLIS LINK,50
BIOPOLIS STREET,50
BIRCH ROAD,50
BIRD PARK DRIVE,50
BISHAN PLACE,50
BISHAN STREET 11,50
BISHAN STREET 13,50
BISHAN STREET 21,50
BISHAN LANE,50
BISHAN ROAD,60
BISHAN STREET 12,50
BISHAN STREET 14,50
BISHAN STREET 22,50
BISHAN STREET 23,50
BISHOPS PLACE,40
BISHOPSWALK,50
BLAIR ROAD,50
BLOXHOME DRIVE,40
BISHAN STREET 24,50
BISHOPSGATE,50
BLACKMORE DRIVE,50
BLANDFORD DRIVE,40
BO SENG AVENUE,50
BOAT QUAY,50
BOH SUA TIAN ROAD,40
BONHAM STREET,50
BOON LAY AVENUE,50
BOON LAY PLACE,50
BODMIN DRIVE,40
BOND TERRACE,50
BOON KENG ROAD,50
BOON LAY DRIVE,50
BOON LAY WAY,70
BOON LEAT TERRACE,50
BOON TAT STREET,50
BOON TIONG ROAD,50
BOSCOMBE ROAD,50
BOUNDARY ROAD,60
BOON TAT LINK,50
BOON TECK ROAD,50
BORTHWICK DRIVE,40
BOTAK HILL ROAD,50
BOURNEMOUTH ROAD,50
BOWMONT GARDENS,40
BRADDELL HILL,50
BRAEMAR DRIVE,40
BRANI TERMINAL AVENUE,50
BRANI TERMINAL ROAD Q,50
BRADDELL HEIGHTS HOUSING ESTATE,40
BRADDELL ROAD,70
BRANI AVENUE,50
BRANI TERMINAL ROAD P,50
BRANI TERMINAL ROAD R,50
BRANI TERMINAL ROAD S,50
BRANI TERMINAL STREET 8,50
BRANKSOME ROAD,50
BRICKLAND ROAD,60
BRIGHT HILL CRESCENT,50
BRANI TERMINAL STREET 10,50
BRANI TERMINAL STREET 9,50
BRAS BASAH ROAD,50
BRIDPORT AVENUE,40
BRIGHT HILL DRIVE,50
BRIGHT HILL ROAD,50
BRIGHTON CRESCENT,40
BRIZAY PARK,50
BROADRICK ROAD,50
BROMPTON ROAD,50
BRIGHTON AVENUE,50
BRISTOL ROAD,50
BROADRICK CLOSE,50
BROCKHAMPTON DRIVE,40
BROOKE ROAD,50
BROOKVALE DRIVE,50
BUANGKOK CRESCENT,50
BUANGKOK DRIVE - that part of Buangkok Drive between Buangkok Green and Punggol Road.,60
BUANGKOK LINK,50
BUANGKOK VIEW,50
BROOKVALE WALK,50
BUANGKOK DRIVE - that part of Buangkok Drive between Punggol Road and Upper Serangoon Road.,70
BUANGKOK GREEN,60
BUANGKOK SOUTH FARMWAY 1,50
BUCKLEY ROAD,50
BUFFALO ROAD,50
BUKIT AYAM ROAD,40
BUKIT BATOK AVENUE 1,60
BUKIT BATOK CENTRAL LINK,50
BUKIT BATOK EAST AVENUE 2 - that part of Bukit Batok East Avenue 2 between Hillview Avenue and Bukit Batok East Avenue 6.,60
BUKIT ARANG ROAD,40
BUKIT AYER MOLEK,40
BUKIT BATOK CENTRAL,50
BUKIT BATOK CRESCENT,50
BUKIT BATOK EAST AVENUE 3 - that part of Bukit Batok East Avenue 3 between Toh Tuck Avenue and Bukit Batok East Avenue 6.,60
BUKIT BATOK EAST AVENUE 4,50
BUKIT BATOK EAST AVENUE 6,60
BUKIT BATOK ROAD,70
BUKIT BATOK STREET 21,50
BUKIT BATOK STREET 23,50
BUKIT BATOK EAST AVENUE 5,50
BUKIT BATOK INDUSTRIAL PARK A,50
BUKIT BATOK STREET 11,50
BUKIT BATOK STREET 22,50
BUKIT BATOK STREET 24,50
BUKIT BATOK STREET 25,50
BUKIT BATOK STREET 32,50
BUKIT BATOK STREET 34,50
BUKIT BATOK STREET 52,50
BUKIT BATOK WEST AVENUE 3,50
BUKIT BATOK STREET 31,50
BUKIT BATOK STREET 33,50
BUKIT BATOK STREET 51,50
BUKIT BATOK WEST AVENUE 2,60
BUKIT BATOK WEST AVENUE 4,50
BUKIT BATOK WEST AVENUE 5,50
BUKIT BATOK WEST AVENUE 7,50
BUKIT CHERMIN ROAD,40
BUKIT HO SWEE CRESCENT,50
BUKIT MANIS ROAD,50
BUKIT BATOK WEST AVENUE 6,50
BUKIT BATOK WEST AVENUE 8,50
BUKIT DRIVE,50
BUKIT HO SWEE LINK,50
BUKIT MERAH CENTRAL,50
BUKIT MERAH LANE 1,50
BUKIT MERAH LANE 3,50
BUKIT MUGLISTON,50
BUKIT PANJANG RING ROAD,50
BUKIT PASOH ROAD,50
BUKIT MERAH LANE 2,50
BUKIT MERAH VIEW,50
BUKIT PANJANG LINK,50
BUKIT PANJANG ROAD,60
BUKIT PURMEI,50
BUKIT PURMEI AVENUE,50
BUKIT SEDAP ROAD,50
BUKIT TERESA ROAD,50
BUKIT TIMAH EXPRESSWAY - that part of Bukit Timah Expressway between lamp post No. 496 (Woodlands Flyover) and lamp post No. 2 L3 (Chantek Flyover), in the direction towards Pan Island Expressway.,90
BUKIT TIMAH LINK,50
BUKIT PURMEI ROAD,50
BUKIT TERESA CLOSE,50
BUKIT TIMAH AVENUE,50
BUKIT TIMAH EXPRESSWAY - that part of Bukit Timah Expressway between lamp post No. 1171 S 25 (Chantek Flyover) and lamp post No. 495 (Woodlands Flyover), in the direction towards Woodlands Checkpoint.,90
BUKIT TIMAH ROAD - that part of Bukit Timah Road between Newton Circus and Clementi Road.,70
BUKIT TIMAH ROAD - that part of Bukit Timah Road between Newton Circus and Serangoon Road.,60
BUKIT TUNGGAL ROAD,50
BURGHLEY DRIVE,40
BURGUNDY DRIVE,50
BURMAH ROAD,50
BUKIT TINGGI ROAD,50
BUNGA RAMPAI PLACE,50
BURGUNDY CRESCENT,50
BURGUNDY RISE,50
BURN ROAD,50
BURNFOOT TERRACE,40
BURY ROAD,40
BUSSORAH STREET,50
BUTTERWORTH LANE,50
BUROH LANE,50
BUSINESS LINK,40
BUTTERFLY AVENUE,40
BUYONG ROAD,50
CABLE ROAD,50
CACTUS DRIVE,50
