"unique.Id","from","to","length","street.name","type","from.x","from.y","to.x","to.y","avg_speed","var_speed"
"36",2404,5544,205.85756,"2ND","ST",-77.0136620433268,38.8992957723643,-77.0136806350739,38.9002114633064,14.379612003173,48.0448683891987
"37",5544,3180,46.042043,"2ND","ST",-77.0136806350739,38.9002114633064,-77.0136511393245,38.9020633150257,13.7375274618431,50.1590699711395
"143",5624,2993,85.164349,"4TH","ST",-77.0161774210149,38.9037432309859,-77.0161825225287,38.9048865704988,16.7020490527312,53.6374791346571
"144",2993,3051,88.392506,"4TH","ST",-77.0161825225287,38.9048865704988,-77.0161761250039,38.9056537226321,16.7020490527312,53.6374791346571
"183",5649,5650,166.202932,"3RD","ST",-77.0151835588145,38.891455415036,-77.0152340673352,38.8920938318956,15.7219708955496,33.6649554768847
"184",5650,5651,134.56642,"3RD","ST",-77.0152340673352,38.8920938318956,-77.0152294304078,38.8935910239094,15.7219708955496,33.6649554768847
"185",5651,5652,148.089338,"3RD","ST",-77.0152294304078,38.8935910239094,-77.0151709110495,38.8948023577261,15.1940885369544,26.3406642540199
"186",5652,5653,134.563546,"3RD","ST",-77.0151709110495,38.8948023577261,-77.0151881158056,38.8961363331587,15.1940885369544,26.3406642540199
"187",5653,5654,106.960372,"3RD","ST",-77.0151881158056,38.8961363331587,-77.0151769715146,38.8973484963492,14.5796497034107,67.1019789149727
"189",5655,2406,118.110696,"3RD","ST",-77.0151922311932,38.8983116095175,-77.0151571471265,38.8998190902504,14.1634453559266,46.5800607480957
"195",5658,3143,82.030314,"3RD","ST",-77.0151790179693,38.9085765251554,-77.0151868560818,38.9096499585984,13.6478359080695,27.6719082006029
"247",5695,5696,135.139176,"7TH","ST",-77.0219102845982,38.8905459428867,-77.0219023904749,38.8920858724939,14.3935185442966,41.5480856052346
"248",5696,5697,64.630697,"7TH","ST",-77.0219023904749,38.8920858724939,-77.0219213529514,38.8933025515182,14.3935185442966,41.5480856052346
"254",5702,5703,117.341938,"7TH","ST",-77.0219166772032,38.8984541183496,-77.0219167246708,38.8998209210648,12.0958630747698,33.735147501256
"255",5703,5704,136.679433,"7TH","ST",-77.0219167246708,38.8998209210648,-77.0219132717603,38.9008779086235,12.0958630747698,33.735147501256
"256",5704,5705,46.597337,"7TH","ST",-77.0219132717603,38.9008779086235,-77.02191731034,38.9021091426682,12.7299265164818,39.5695247523441
"257",5705,5706,46.371622,"7TH","ST",-77.02191731034,38.9021091426682,-77.0219199813837,38.902528902317,12.9375703905996,39.0995644277689
